## RunInfo	version:0.6.5	annotated_features:14968	total_fragments:75420262	pair_mapped:51438067	pair_mixed:20568016	single_mapped:0	unmapped:3414179	unique:44223530	ambig:27782553	overlap_unique:283285	overlap_ambig:1907943
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
__no_feature	0	667864	615685.00	0.184	775185	0	550300	568386	568445.59	0.173
HERVH_3p14.3a	5721	191960	168836.00	0.126	355935	19403	162019	166044	166050.13	0.109
HERVH_3q13.2	4954	85429	65115.00	0.0286	383417	3419	67208	69701	69710.68	0.0228
HERVH_13q21.1a	5860	82705	63779.00	0.0375	278055	10035	61583	64893	64928.51	0.0304
HERVH_20q12b	5708	69171	61074.00	0.0274	178557	4123	56846	58951	58900.74	0.0218
HERVH_16q21d	5545	67147	53987.00	0.0402	261248	6479	51848	54683	54673.14	0.0326
HERVH_Xq23g	5860	51165	37530.00	0.0249	293434	5008	36323	38735	38747.52	0.019
HERVH_1q41h	5761	45925	29322.00	0.0218	359733	4977	33696	36108	36057.55	0.0164
HERVH_Xq21.31c	5678	45272	41463.00	0.0329	210915	514	43017	43976	43988.95	0.0309
HERVH_7q21.11	5716	44445	32108.00	0.0221	265494	4977	35335	37081	37080.39	0.0174
HERVH_6q22.1a	5929	38736	31818.00	0.0232	239804	5451	33294	34371	34386.59	0.0202
HERVH_13q14.3a	5141	36980	23680.00	0.0167	342147	2619	30106	32185	32158.74	0.013
HERVH_12q14.1b	5799	36378	27272.00	0.0253	356649	1834	30462	31779	31817.80	0.0201
HERVH_16p13.2b	6772	33245	29178.00	0.0133	107424	4227	29032	30796	30770.00	0.0122
HERVH_4q34.3b	4093	29568	25639.00	0.0132	138193	4397	26664	27362	27331.42	0.012
HERVH_9q22.33a	5521	28494	16440.00	0.0142	349792	2832	22036	24018	23975.66	0.0112
HERVH_2p12c	5784	27118	22000.00	0.0181	257773	3119	23563	24314	24263.37	0.0159
HERVH_13q14.11a	5155	26672	17274.00	0.011	302887	329	22577	23831	23864.60	0.00974
HERVH_5q32b	4691	18858	13352.00	0.0091	230235	2757	16003	17093	17123.65	0.00764
HERVH_12p12.3a	5220	17519	10952.00	0.0102	283625	670	15174	16376	16383.92	0.00883
HERVH_5q23.1c	5866	16574	12101.00	0.00922	256723	1577	14418	15020	15001.41	0.00832
HERVH_4q22.1a	4193	16233	10326.00	0.00804	202347	1338	14295	16840	16852.02	0.00718
HERVH_9q21.13a	5854	15824	12112.00	0.00863	233484	1065	14208	14960	14967.97	0.0078
HERVH_4q35.2a	5629	14845	12931.00	0.00813	19874	7642	16028	16208	16213.38	0.00812
HERVH_19q13.42a	5945	14151	11612.00	0.00978	200794	1375	13522	14076	14127.39	0.00896
HERVH_9q22.31b	5757	14059	7371.00	0.00636	309848	1497	11486	12413	12398.82	0.00539
HERVH_11p14.1a	5855	13952	7905.00	0.00699	290329	770	13263	15814	15918.04	0.00628
HERVH_2p14d	6085	13459	10836.00	0.00621	56926	1789	13199	13567	13574.67	0.00596
